[2024-05-07T14:26:28.441] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:26:28.930] [INFO] default - Access about page successful
[2024-05-07T14:26:31.110] [INFO] default - Access about page successful
[2024-05-07T14:29:01.081] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:29:06.912] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:29:07.440] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:29:07.590] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:29:07.741] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:29:07.939] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:29:53.446] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:30:04.568] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:30:23.009] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:30:25.067] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:31:03.023] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:31:34.048] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:32:14.064] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:32:38.279] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:32:38.667] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:32:38.846] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:36:13.062] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:37:15.042] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:37:27.847] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:37:32.850] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:37:49.043] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:38:31.568] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:38:36.965] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
